iter	MAE	MAE
0	237.4079962	237.4079804
1	237.0094185	237.0094343
2	236.6103034	236.6103192
3	236.2104614	236.2104614
4	235.8108565	235.8108407
5	235.4119311	235.4119153
6	235.012579	235.0125474
7	234.6131163	234.6131005
8	234.2138274	234.2138116
9	233.8150284	233.8150284
10	233.4156764	233.4156922
11	233.0160398	233.0160398
12	232.6163243	232.6163085
13	232.21683	232.2168458
14	231.8174147	231.8174147
15	231.4178571	231.4178571
16	231.0182364	231.0182364
17	230.618426	230.6184102
18	230.2187737	230.2188053
19	229.8189633	229.8189317
20	229.4190898	229.4191056
21	229.0192478	229.0192478
22	228.61939	228.61939
23	228.219548	228.219548
24	227.8197851	227.8198009
25	227.4199431	227.4199589
26	227.0201643	227.0201643
27	226.6203224	226.6203066
28	226.2204804	226.2204488
29	225.8206068	225.8206068
30	225.4207965	225.4208123
31	225.0211441	225.0211599
32	224.6216814	224.621713
33	224.2221397	224.2221397
34	223.822756	223.8227402
35	223.4234513	223.4234513
36	223.0241941	223.0241783
37	222.625	222.625
38	222.2259166	222.2259166
39	221.8270544	221.827086
40	221.4282554	221.4282712
41	221.0297882	221.0297724
42	220.6314159	220.6314159
43	220.2332807	220.2332491
44	219.8352876	219.8353034
45	219.4376896	219.4377054
46	219.0402971	219.0403129
47	218.6432838	218.6432838
48	218.2467446	218.2467288
49	217.8503793	217.8503793
50	217.4541403	217.4541403
51	217.0583597	217.0583755
52	216.6633059	216.6633375
53	216.2687263	216.2687421
54	215.8744785	215.8744943
55	215.4808786	215.4808944
56	215.0879583	215.0879583
57	214.6954014	214.6954172
58	214.3035714	214.3035556
59	213.9120891	213.9120891
60	213.5207965	213.5208281
61	213.1299621	213.1299305
62	212.7396966	212.7396808
63	212.3500158	212.3500158
64	211.9608881	211.9608723
65	211.5722977	211.5723135
66	211.1846239	211.1846081
67	210.797677	210.7976612
68	210.4118837	210.4118837
69	210.0271966	210.0271966
70	209.6438527	209.6438527
71	209.2617889	209.2618047
72	208.8806574	208.8806574
73	208.5007111	208.5006953
74	208.1214286	208.1214286
75	207.7430626	207.7430626
